    2011-08-13    5.98
    2011-08-14    7.41
    2011-08-14    11.06
    2011-08-25    8.36
    2011-08-26    9.27
    2011-08-28    3.47
    2011-08-30    3.78
    2011-09-04    17.80
    2011-09-12    10.72
   2012-05-01    33.82
   2012-05-17    7.10
   2012-05-22    14.19
   2012-05-26    6.39
   2012-06-02    14.55
   2012-06-02    8.68
   2012-06-02    7.17
   2012-06-07    31.50
   2012-06-09    14.75
   2012-06-16    14.16
   2012-06-17    11.84
   2012-06-18    16.00
   2012-06-22    18.10
   2012-06-23    14.07
   2012-06-26    16.28
   2012-06-28    17.65
   2012-06-29    7.30
   2012-06-30    27.28
