    2011-08-13  9.47
    2011-08-14  9.75
    2011-08-14  11.06
    2011-08-25  17.55
    2011-08-26  16.30
    2011-08-28  20.60
    2011-08-30  16.49
    2011-09-04  16.46
    2011-09-12  16.48
   2012-05-01  21.37
   2012-05-17  12.33
   2012-05-22  16.29
   2012-05-26  10.31
   2012-06-02  17.06
   2012-06-02  13
   2012-06-02  15.02
   2012-06-07  12.13
   2012-06-09  14.94
   2012-06-16  14.30
   2012-06-17  16.58
   2012-06-18  16.74
   2012-06-22  14.18
   2012-06-23  15.38
   2012-06-26  14.03
   2012-06-28  14.36
   2012-06-29   9.42
   2012-06-30  15.24
